,Store Name,Street Address,Borough,Year Awarded,Council District,NTA,2010 Census Bureau FIPS County Code,2010 NYC Borough Code,2010 Census Tract,PUMA,Code
0,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,23300.0,4003.0,BK75
1,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,24100.0,4003.0,BK75
2,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,24300.0,4003.0,BK75
3,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,24500.0,4003.0,BK75
4,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,24900.0,4003.0,BK75
5,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25100.0,4003.0,BK75
6,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25300.0,4003.0,BK75
7,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25500.0,4003.0,BK75
8,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25700.0,4003.0,BK75
9,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25901.0,4003.0,BK75
10,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25902.0,4003.0,BK75
11,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26100.0,4003.0,BK75
12,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26300.0,4003.0,BK75
13,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26500.0,4003.0,BK75
14,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26700.0,4003.0,BK75
15,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26900.0,4003.0,BK75
16,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,50700.0,4003.0,BK75
17,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,53100.0,4003.0,BK75
18,SIRAH 1720 LLC,535 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,123700.0,4003.0,BK75
19,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,23300.0,4003.0,BK75
20,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,24100.0,4003.0,BK75
21,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,24300.0,4003.0,BK75
22,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,24500.0,4003.0,BK75
23,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,24900.0,4003.0,BK75
24,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25100.0,4003.0,BK75
25,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25300.0,4003.0,BK75
26,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25500.0,4003.0,BK75
27,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25700.0,4003.0,BK75
28,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25901.0,4003.0,BK75
29,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25902.0,4003.0,BK75
30,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26100.0,4003.0,BK75
31,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26300.0,4003.0,BK75
32,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26500.0,4003.0,BK75
33,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26700.0,4003.0,BK75
34,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26900.0,4003.0,BK75
35,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,50700.0,4003.0,BK75
36,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,53100.0,4003.0,BK75
37,FIRST STOP GROCERY INC,643 MARCY AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,123700.0,4003.0,BK75
38,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,23300.0,4003.0,BK75
